UPC,DESCRIPTION
1111009477,PL MINI TWIST PRETZELS
1111009497,PL PRETZEL STICKS
1111009507,PL TWIST PRETZELS
1111035398,PL BL MINT ANTSPTC RINSE
1111038078,PL BL MINT ANTSPTC RINSE
1111038080,PL ANTSPTC SPG MNT MTHWS
1111085319,PL HONEY NUT TOASTD OATS
1111085345,PL RAISIN BRAN
1111085350,PL BT SZ FRSTD SHRD WHT
1111087395,PL SR CRUST SUPRM PIZZA
1111087396,PL SR CRUST 3 MEAT PIZZA
1111087398,PL SR CRUST PEPPRN PIZZA
1600027527,GM HONEY NUT CHEERIOS
1600027528,GM CHEERIOS
1600027564,GM CHEERIOS
2066200530,NWMN OWN PEPPERONI PIZZA
2066200531,NWMN OWN 4 CHEESE PIZZA
2066200532,NWMN OWN SUPREME PIZZA
2840002333,RLDGLD BRAIDED HONEY WHT
2840004768,RLDGLD TINY TWISTS PRTZL
2840004770,RLDGLD PRETZEL STICKS
3000006340,QKER LIFE ORIGINAL
3000006560,QKER CAP N CRUNCH BERRIES
3000006610,QKER CAP N CRUNCH
3120505000,HMRN CLSC SAUSAGE PIZZA
3120505100,HMRN CLSC SSG PEPP PIZZA
3120506000,HMRN CLSC CHS PIZZA
3500068914,COLG SPEARMINT WISP
3700019521,CREST PH WHTG CLN MINT TP
3700031613,SCOPE ORIG MINT MOUTHWASH
3700044982,CREST PH CLN MINT RINSE
3800031829,KELL BITE SIZE MINI WHEAT
3800031838,KELL FROSTED FLAKES
3800039118,KELL FROOT LOOPS
4116709428,ACT MINT A/CAV FLUOR RNS
4116709448,ACT KIDS BBLGUM FLUOR RNS
4116709565,ACT RSTR CL SPLSH MINT MW
7027312504,SHURGD PRETZEL RODS
7027316204,SHURGD MINI PRETZELS
7027316404,SHURGD PRETZEL STICKS
7110410455,MKSL MINI TWIST PRETZELS
7110410470,MKSL DUTCH PRETZELS
7110410471,MKSL PRETZEL STICKS
7192100336,DIGIORNO THREE MEAT
7192100337,DIGRN SUPREME PIZZA
7192100339,DIGRN PEPP PIZZA
7218063052,FRSC BRCK OVN ITL PEP PZ
7218063979,FRSC PEPPERONI PIZZA
7218063983,FRSC 4 CHEESE PIZZA
7797502248,SNYDR PRETZEL RODS
7797508004,SNYDR SOURDOUGH NIBBLERS
7797508006,SNYDR FF MINI PRETZELS
31254742725,LSTRNE CL MINT ANTSPTC MW
31254742735,LSTRNE CL MINT ANTSPTC MW
31254742835,LSTRNE FRS BRST ANTSPC MW
88491201426,POST HNY BN OTS HNY RSTD
88491201427,POST FM SZ HNYBNCH OT ALM
88491212971,POST FRUITY PEBBLES
